baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
fairdag-bof,10,3,bof,500,1,288.1275,0.0,288.3333333333334,474.72,
fairdag-bof,10,3,bof,1000,1,286.21250000000015,0.0,286.3649999999998,443.4,
fairdag-bof,10,3,bof,2000,1,299.7158333333333,0.0,299.82833333333326,1045.35,
fairdag-bof,10,3,bof,4000,1,262.16250000000014,0.0,262.43333333333334,1732.79,
fairdag-bof,10,3,bof,6000,1,288.3500000000001,0.0,281.38928571428573,1383.92,
fairdag-bof,10,3,bof,8000,1,257.6333333333334,0.0,257.4800000000001,1811.99,
fairdag-bof,10,3,bof,10000,1,272.99166666666673,0.0,273.22,1898.26,
fairdag-bof,10,3,bof,12000,1,297.2250000000001,0.0,297.3000000000001,1024.04,
fairdag-bof,10,3,bof,15000,1,178.66875000000005,0.0,211.34791666666663,2295.38,
fairdag-bof,16,5,bof,500,1,102.13472222222222,0.0,29.443786982248536,22492.84,
fairdag-bof,16,5,bof,1000,1,103.03194444444445,0.0,37.49999999999999,25835.27,
fairdag-bof,16,5,bof,2000,1,103.00632911392405,0.0,43.09664429530199,27117.34,
fairdag-bof,16,5,bof,4000,1,128.4969036697248,0.0,30.86923076923078,13722.47,
fairdag-bof,16,5,bof,6000,1,125.16964285714286,0.0,30.639370078740164,19692.58,
fairdag-bof,16,5,bof,8000,1,138.62321428571425,0.0,32.65149700598803,19959.18,
fairdag-bof,16,5,bof,10000,1,132.03125,0.0,39.99999999999999,16154.52,
fairdag-bof,16,5,bof,12000,1,153.55931677018629,0.0,160.25477707006368,16406.28,
fairdag-bof,16,5,bof,15000,1,107.70555555555558,0.0,37.66666666666666,30774.49,
fairdag-bof,22,7,bof,500,1,118.25,0.0,22.722916666666666,28487.7,
fairdag-bof,22,7,bof,1000,1,125.24999999999987,0.0,17.197560975609754,16485.52,
fairdag-bof,22,7,bof,2000,1,142.53376623376624,0.0,29.438095238095265,20768.08,
fairdag-bof,22,7,bof,4000,1,114.07966173361505,0.0,27.81958762886598,29603.45,
fairdag-bof,22,7,bof,6000,1,166.19393939393936,0.0,32.399999999999984,8809.58,
fairdag-bof,22,7,bof,8000,1,140.98977272727274,0.0,23.72881355932201,26372.48,
fairdag-bof,22,7,bof,10000,1,254.70681818181828,0.0,32.33999999999999,8478.88,
fairdag-bof,22,7,bof,12000,1,161.01038961038964,0.0,36.058064516128994,17618.68,
fairdag-bof,22,7,bof,15000,1,167.02878787878814,0.0,29.793984962406014,24002.67,
fairdag-bof,10,3,bof,500,2,179.1766,0.0000,286.7967,8561.3822,
fairdag-bof,10,3,bof,1000,2,185.4401,0.0000,296.4667,7492.2002,
fairdag-bof,10,3,bof,2000,2,187.9187,0.0000,301.0000,8302.0340,
fairdag-bof,10,3,bof,4000,2,203.3073,0.0000,325.2500,7748.6227,
fairdag-bof,10,3,bof,6000,2,195.5615,0.0000,312.8550,7861.9815,
fairdag-bof,10,3,bof,8000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,10,3,bof,10000,2,164.2344,0.0000,286.5091,9214.1418,
fairdag-bof,10,3,bof,12000,2,182.1266,0.0000,291.0000,8528.8924,
fairdag-bof,10,3,bof,15000,2,199.8016,0.0000,319.7567,7752.7066,
fairdag-bof,16,5,bof,500,2,167.8400,0.0000,36.7347,12785.7241,
fairdag-bof,16,5,bof,1000,2,221.4081,0.0000,219.1820,11322.1837,
fairdag-bof,16,5,bof,2000,2,126.8839,0.0000,36.3611,17964.1920,
fairdag-bof,16,5,bof,4000,2,115.4143,0.0000,22.3750,14435.6379,
fairdag-bof,16,5,bof,6000,2,165.6375,0.0000,40.0400,11466.4667,
fairdag-bof,16,5,bof,8000,2,134.1496,0.0000,23.9765,20475.3511,
fairdag-bof,16,5,bof,10000,2,122.3889,0.0000,46.5472,27075.1439,
fairdag-bof,16,5,bof,12000,2,153.9688,0.0000,42.6667,31511.1558,
fairdag-bof,16,5,bof,15000,2,121.4388,0.0000,43.4967,28530.9824,
fairdag-bof,22,7,bof,500,2,158.7864,0.0000,17.9592,19290.5664,
fairdag-bof,22,7,bof,1000,2,251.0636,0.0000,43.8872,14803.4329,
fairdag-bof,22,7,bof,2000,2,138.7670,0.0000,26.5787,30999.8186,
fairdag-bof,22,7,bof,4000,2,288.3238,0.0000,23.0157,9977.7390,
fairdag-bof,22,7,bof,6000,2,252.0341,0.0000,30.6470,10169.1438,
fairdag-bof,22,7,bof,8000,2,229.5533,0.0000,31.0294,13930.1605,
fairdag-bof,22,7,bof,10000,2,252.0341,0.0000,34.1500,13316.7981,
fairdag-bof,22,7,bof,12000,2,166.7439,0.0000,30.0246,24325.0129,
fairdag-bof,22,7,bof,15000,2,162.8766,0.0000,33.9117,34951.1736,
fairdag-bof,10,3,bof,500,3,173.1478,0.0000,312.0806,10668.0940,
fairdag-bof,10,3,bof,1000,3,162.2714,0.0000,288.2042,11185.4234,
fairdag-bof,10,3,bof,2000,3,169.7400,0.0000,304.7861,10870.6046,
fairdag-bof,10,3,bof,4000,3,164.4293,0.0000,303.8637,10650.9785,
fairdag-bof,10,3,bof,6000,3,171.4560,0.0000,302.6515,10779.1368,
fairdag-bof,10,3,bof,8000,3,174.2269,0.0000,314.9528,10432.4406,
fairdag-bof,10,3,bof,10000,3,167.7468,0.0000,300.1042,10107.3555,
fairdag-bof,10,3,bof,12000,3,169.7465,0.0000,304.3833,10175.2281,
fairdag-bof,10,3,bof,15000,3,232.1788,1208.6275,250.1191,15096.7354,
fairdag-bof,16,5,bof,500,3,73.0354,0.0000,27.3700,18638.1075,
fairdag-bof,16,5,bof,1000,3,128.8998,0.0000,158.1203,19265.5876,
fairdag-bof,16,5,bof,2000,3,102.1091,0.0000,53.5000,17229.3313,
fairdag-bof,16,5,bof,4000,3,71.7562,0.0000,26.0029,17146.8282,
fairdag-bof,16,5,bof,6000,3,92.2625,0.0000,41.7908,18601.4466,
fairdag-bof,16,5,bof,8000,3,67.6107,0.0000,32.9747,18845.9846,
fairdag-bof,16,5,bof,10000,3,117.8214,0.0000,52.1361,16665.1887,
fairdag-bof,16,5,bof,12000,3,89.7857,0.0000,28.1649,16653.7458,
fairdag-bof,16,5,bof,15000,3,83.9852,0.0000,45.3543,17604.8219,
fairdag-bof,22,7,bof,500,3,178.4077,0.0000,31.5449,17747.9934,
fairdag-bof,22,7,bof,1000,3,175.6803,0.0000,27.3184,27643.2357,
fairdag-bof,22,7,bof,2000,3,167.3955,0.0000,29.2828,17668.4725,
fairdag-bof,22,7,bof,4000,3,303.8174,0.0000,26.8529,7219.7215,
fairdag-bof,22,7,bof,6000,3,104.5495,0.0000,31.8369,24928.1238,
fairdag-bof,22,7,bof,8000,3,188.8636,0.0000,43.7969,13052.3513,
fairdag-bof,22,7,bof,10000,3,150.9273,0.0000,25.0667,18096.3654,
fairdag-bof,22,7,bof,12000,3,136.5011,0.0000,25.1515,26484.5743,
fairdag-bof,22,7,bof,15000,3,177.3519,0.0000,29.9619,28782.9815,
fairdag-bof,10,3,bof,500,4,174.8951,0.0000,312.7911,8381.8611,
fairdag-bof,10,3,bof,1000,4,142.9101,0.0000,245.9111,10231.8296,
fairdag-bof,10,3,bof,2000,4,166.9107,0.0000,299.8472,8770.8481,
fairdag-bof,10,3,bof,4000,4,167.8024,0.0000,301.4306,8227.0200,
fairdag-bof,10,3,bof,6000,4,160.4052,0.0000,306.8387,8498.4874,
fairdag-bof,10,3,bof,8000,4,173.9238,0.0000,315.3208,8248.2339,
fairdag-bof,10,3,bof,10000,4,165.8260,0.0000,297.2444,8822.6184,
fairdag-bof,10,3,bof,12000,4,219.0847,0.0000,236.0125,12543.8646,
fairdag-bof,10,3,bof,15000,4,253.1884,157.7221,261.4471,12802.9914,
fairdag-bof,16,5,bof,500,4,159.1295,0.0000,47.3639,14432.6798,
fairdag-bof,16,5,bof,1000,4,83.4716,0.0000,40.4143,15839.2916,
fairdag-bof,16,5,bof,2000,4,103.6409,0.0000,39.2213,14919.3131,
fairdag-bof,16,5,bof,4000,4,74.4586,0.0000,27.3672,15754.3239,
fairdag-bof,16,5,bof,6000,4,78.7424,0.0000,37.8897,16652.2420,
fairdag-bof,16,5,bof,8000,4,72.9118,0.0000,34.2000,17613.8832,
fairdag-bof,16,5,bof,10000,4,35.0091,0.0000,48.2000,11784.1329,
fairdag-bof,16,5,bof,12000,4,78.2670,0.0000,27.9579,13670.5970,
fairdag-bof,16,5,bof,15000,4,70.0479,0.0000,26.3351,16613.0121,
fairdag-bof,22,7,bof,500,4,191.3395,0.0000,28.0043,30392.5125,
fairdag-bof,22,7,bof,1000,4,164.2379,0.0000,24.4444,10256.9192,
fairdag-bof,22,7,bof,2000,4,200.7745,0.0000,27.3803,17437.2952,
fairdag-bof,22,7,bof,4000,4,118.9646,0.0000,27.7665,31113.0378,
fairdag-bof,22,7,bof,6000,4,106.8188,0.0000,12.6804,22197.5272,
