baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
fairdag-ol,10,3,ol,500,1,168.04500000000004,305.55,203.53999999999996,5213.2,
fairdag-ol,10,3,ol,1000,1,168.30699999999996,0.0,164.10166666666672,13357.9,
fairdag-ol,10,3,ol,2000,1,169.83166666666662,3530.26,160.19333333333327,16376.66,
fairdag-ol,10,3,ol,4000,1,170.2483333333333,2693.85,144.0,19078.88,
fairdag-ol,10,3,ol,6000,1,168.34000000000003,2154.65,154.26666666666668,16889.9,
fairdag-ol,10,3,ol,8000,1,170.60840336134453,343.42,165.0252100840336,14194.93,
fairdag-ol,10,3,ol,10000,1,161.53148148148142,627.97,143.67222222222222,15634.67,
fairdag-ol,10,3,ol,12000,1,171.04166666666666,0.0,156.87833333333342,15604.84,
fairdag-ol,10,3,ol,15000,1,167.88533333333328,2096.81,150.5,17564.25,
fairdag-ol,16,5,ol,500,1,274.8395939086297,0.0,318.941116751269,4197.28,
fairdag-ol,16,5,ol,1000,1,263.78131510416665,0.0,266.9697916666666,13654.13,
fairdag-ol,16,5,ol,2000,1,271.52291666666633,18.04,252.51666666666685,13557.05,
fairdag-ol,16,5,ol,4000,1,266.2875000000002,2044.68,228.02604166666652,16857.04,
fairdag-ol,16,5,ol,6000,1,248.59427083333327,0.0,200.8452380952381,12760.17,
fairdag-ol,16,5,ol,8000,1,269.7719401041667,0.0,233.1385416666667,14574.71,
fairdag-ol,16,5,ol,10000,1,260.2830729166666,4064.19,225.22722513088993,17292.9,
fairdag-ol,16,5,ol,12000,1,258.0651692708332,2243.32,216.57801047120444,16210.11,
fairdag-ol,16,5,ol,15000,1,264.45039267015693,2177.02,231.212765957447,16005.18,
fairdag-ol,22,7,ol,500,1,401.090909090909,0.0,447.3378787878781,2969.14,
fairdag-ol,22,7,ol,1000,1,370.43289562289544,0.0,391.07333333333344,12685.25,
fairdag-ol,22,7,ol,2000,1,385.97021349862257,80.17,347.09242424242393,14892.25,
fairdag-ol,22,7,ol,4000,1,373.9903259005147,335.44,352.6611320754716,14621.15,
fairdag-ol,22,7,ol,6000,1,393.95585399449004,0.0,378.0810606060605,13560.53,
fairdag-ol,22,7,ol,8000,1,367.27792699724506,0.0,347.7669421487601,15551.57,
fairdag-ol,22,7,ol,10000,1,349.8491252144083,0.0,358.50534979423884,13431.38,
fairdag-ol,22,7,ol,12000,1,357.54682675814763,0.0,352.7184615384611,12673.06,
fairdag-ol,22,7,ol,15000,1,353.945454545454,0.0,347.34999999999997,13131.33,
fairdag-ol,10,3,ol,500,2,107.5685,4581.2623,162.0933,19890.1429,
