baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
themis,13,3,bof,500,1,436.85,899.0058,436.85,899.0058,
themis,13,3,bof,1000,1,1024.0,412.7234,1024.0,412.7234,
themis,13,3,bof,2000,1,166.6167,559.3773,166.6167,559.3773,
themis,13,3,bof,4000,1,15.0833,3108.235,15.0833,3108.235,
themis,13,3,bof,6000,1,18.3333,5670.4755,18.3333,5670.4755,
themis,13,3,bof,8000,1,10.0,2045.1964,10.0,2045.1964,
themis,13,3,bof,10000,1,6.6667,1770.6622,6.6667,1770.6622,
themis,13,3,bof,12000,1,6.6833,18095.4333,6.6833,18095.4333,
themis,13,3,bof,15000,1,5.0,5295.007,5.0,5295.007,
themis,21,5,bof,500,1,436.6333,892.7688,436.6333,892.7688,
themis,21,5,bof,1000,1,188.3167,1219.6327,188.3167,1219.6327,
themis,21,5,bof,2000,1,118.3167,949.4005,118.3167,949.4005,
themis,21,5,bof,4000,1,11.6333,5391.791,11.6333,5391.791,
themis,21,5,bof,6000,1,29.6333,19334.7757,29.6333,19334.7757,
themis,21,5,bof,8000,1,5.0,954.1037,5.0,954.1037,
themis,21,5,bof,10000,1,10.0,3762.3156,10.0,3762.3156,
themis,21,5,bof,12000,1,8.3333,3965.8508,8.3333,3965.8508,
themis,21,5,bof,15000,1,6.6667,1191.2174,6.6667,1191.2174,
themis,29,7,bof,500,1,435.7167,909.3941,435.7167,909.3941,
themis,29,7,bof,1000,1,76.6833,2517.8884,76.6833,2517.8884,
themis,29,7,bof,2000,1,19.95,5904.4731,19.95,5904.4731,
themis,29,7,bof,4000,1,20.0,4915.7059,20.0,4915.7059,
themis,29,7,bof,6000,1,6.7167,9470.5894,6.7167,9470.5894,
themis,29,7,bof,8000,1,8.3333,19709.3196,8.3333,19709.3196,
themis,29,7,bof,10000,1,5.0,1288.1903,5.0,1288.1903,
themis,29,7,bof,12000,1,18.3333,11504.293,18.3333,11504.293,
themis,29,7,bof,15000,1,10.0,5139.0237,10.0,5139.0237,
