baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
tusk,10,3,none,500,1,383.9239,0.0000,500.0000,942.4888,
tusk,10,3,none,1000,1,413.8976,0.0000,1000.0000,775.9915,
tusk,10,3,none,2000,1,473.6934,0.0000,2000.0000,759.9381,
tusk,10,3,none,4000,1,593.3130,0.0000,4000.0000,774.1982,
tusk,10,3,none,6000,1,714.5534,0.0000,6000.0000,791.9272,
tusk,10,3,none,8000,1,832.5048,0.0000,8000.0000,875.3548,
tusk,10,3,none,10000,1,951.7693,0.0000,10000.0000,847.3968,
tusk,10,3,none,12000,1,1070.9219,0.0000,12000.0000,904.6090,
tusk,10,3,none,15000,1,463.0041,0.0000,1690.3399,5534.0843,
tusk,10,3,none,20000,1,1087.4952,0.0000,16137.1227,895.8733,
tusk,10,3,none,25000,1,1087.9238,0.0000,16146.5532,889.7035,
tusk,10,3,none,30000,1,1093.2647,0.0000,16264.0532,904.6552,
tusk,10,3,none,40000,1,1084.1094,0.0000,16069.7866,888.6160,
tusk,10,3,none,50000,1,1097.4024,0.0000,16355.0810,886.8876,
tusk,16,5,none,500,1,42.8635,0.0000,500.0000,850.9755,
tusk,16,5,none,1000,1,82.9715,0.0000,1000.0000,234.7947,
tusk,16,5,none,2000,1,174.1647,0.0000,2000.0000,157.6448,
tusk,16,5,none,4000,1,334.8719,0.0000,4000.0000,175.9042,
tusk,16,5,none,6000,1,502.2727,0.0000,6000.0000,167.6139,
tusk,16,5,none,8000,1,695.2075,0.0000,8000.0000,183.1040,
tusk,16,5,none,10000,1,71.9818,0.0000,1583.6000,147.2974,
tusk,16,5,none,12000,1,1004.5156,0.0000,12000.0000,239.0520,
tusk,16,5,none,15000,1,1289.7503,0.0000,15000.0000,283.8114,
tusk,16,5,none,20000,1,208.5000,0.0000,4587.0000,148.9989,
tusk,16,5,none,25000,1,208.3727,0.0000,4584.2000,161.4131,
tusk,16,5,none,30000,1,1428.5977,0.0000,30000.0000,343.7470,
tusk,16,5,none,40000,1,1377.7409,0.0000,30310.3000,334.0065,
tusk,16,5,none,50000,1,286.5273,0.0000,6303.6000,161.6164,
tusk,22,7,none,500,1,49.6023,0.0000,500.0000,1328.5035,
tusk,22,7,none,1000,1,100.8962,0.0000,1000.0000,785.0761,
tusk,22,7,none,2000,1,307.2017,0.0000,2000.0000,452.4379,
tusk,22,7,none,4000,1,401.8521,0.0000,4000.0000,173.2197,
tusk,22,7,none,6000,1,613.9049,0.0000,6000.0000,215.7351,
