baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,batch_size
fairdag-bof,16,5,bof,500,1,164.06,0.00,27.74,24679.37,0,25
fairdag-bof,16,5,bof,500,2,120.04,0.00,33.33,27608.68,0,25
fairdag-bof,16,5,bof,500,3,141.31,0.00,33.38,24348.81,0,25
fairdag-bof,16,5,bof,500,1,381.72,0.00,307.80,11295.32,0,50
fairdag-bof,16,5,bof,500,2,118.01,0.00,52.85,36000.32,0,50
fairdag-bof,16,5,bof,500,3,198.19,0.00,117.93,27536.07,0,50
fairdag-bof,16,5,bof,500,1,211.02,0.00,169.88,19742.26,0,100
fairdag-bof,16,5,bof,500,2,181.48,0.00,115.74,34647.14,0,100
fairdag-bof,16,5,bof,500,3,148.75,0.00,73.56,34885.23,0,100
fairdag-bof,16,5,bof,500,1,267.50,0.00,82.63,31221.73,0,200
fairdag-bof,16,5,bof,500,2,173.51,0.00,60.89,38986.42,0,200
fairdag-bof,16,5,bof,500,3,160.50,0.00,76.00,34004.35,0,200
fairdag-bof,16,5,bof,500,1,235.00,0.00,80.23,38253.32,0,400
fairdag-bof,16,5,bof,500,2,232.50,0.00,80.80,37765.89,0,400
fairdag-bof,16,5,bof,500,3,230.00,0.00,66.90,40088.40,0,400
