baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,batch_size
fairdag-ol,16,5,ol,500,1,405.88,0.00,437.62,14350.49,0,25
fairdag-ol,16,5,ol,500,2,401.14,0.00,451.14,16172.45,0,25
fairdag-ol,16,5,ol,500,3,425.21,0.00,478.85,15939.66,0,25
fairdag-ol,16,5,ol,500,1,720.72,0.00,909.65,5924.78,0,50
fairdag-ol,16,5,ol,500,2,842.19,0.00,967.11,5404.95,0,50
fairdag-ol,16,5,ol,500,3,871.90,0.00,1023.85,4865.07,0,50
fairdag-ol,16,5,ol,500,1,985.40,365.33,1098.46,1850.47,0,100
fairdag-ol,16,5,ol,500,2,1018.33,264.07,1098.46,1855.57,0,100
fairdag-ol,16,5,ol,500,3,977.38,131.18,1094.05,2316.83,0,100
fairdag-ol,16,5,ol,500,1,1053.78,1198.18,1177.47,2272.53,0,200
fairdag-ol,16,5,ol,500,2,1020.32,1378.42,1094.30,2058.91,0,200
fairdag-ol,16,5,ol,500,3,1010.20,1463.66,1095.38,2109.06,0,200
fairdag-ol,16,5,ol,500,1,1346.08,2522.25,1407.98,3518.83,0,400
fairdag-ol,16,5,ol,500,2,1181.92,2526.31,1386.65,3757.70,0,400
fairdag-ol,16,5,ol,500,3,1170.74,2403.89,1341.80,4449.06,0,400
