n,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,batch_size
11,ol,500,1,500.30,669.60,500.40,714.70,610,25
11,ol,500,2,505.00,661.20,505.20,707.40,612,25
11,ol,500,3,505.10,656.80,505.10,686.00,611,25
11,ol,500,1,500.40,710.50,500.70,759.80,606,50
11,ol,500,2,420.30,749.30,420.30,809.00,239,50
11,ol,500,3,457.50,686.30,457.70,721.00,250,50
11,ol,500,1,465.50,681.40,465.50,719.20,371,100
11,ol,500,2,505.10,667.40,505.10,711.50,615,100
11,ol,500,3,505.10,659.60,505.00,699.00,611,100
11,ol,500,1,458.60,662.50,459.30,701.60,261,200
11,ol,500,2,505.20,657.30,505.10,719.10,611,200
11,ol,500,3,505.30,675.70,505.20,693.60,612,200
11,ol,500,1,505.30,679.80,505.20,731.20,610,400
11,ol,500,2,459.00,690.00,459.10,724.20,255,400
11,ol,500,3,505.00,670.70,505.00,723.10,612,400
11,bof,500,1,505.20,523.40,505.20,523.60,674,25
11,bof,500,2,505.10,520.00,505.10,520.20,673,25
11,bof,500,3,505.10,516.10,505.10,516.30,664,25
11,bof,500,1,504.90,528.20,504.90,528.40,667,50
11,bof,500,2,504.80,508.90,504.80,509.10,671,50
11,bof,500,3,504.90,489.90,504.90,490.10,681,50
11,bof,500,1,504.80,523.90,504.80,524.10,668,100
11,bof,500,2,505.10,512.60,505.10,512.70,668,100
11,bof,500,3,422.60,737.00,422.60,737.30,252,100
11,bof,500,1,505.20,519.10,505.20,519.30,667,200
11,bof,500,2,461.20,597.70,461.20,597.90,302,200
11,bof,500,3,505.10,493.70,505.10,493.80,677,200
11,bof,500,1,504.90,526.40,504.90,526.60,669,400
11,bof,500,2,460.60,640.60,460.60,640.70,295,400
11,bof,500,3,446.30,682.00,446.30,682.20,230,400
