baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,batch_size
pompe,16,5,ol,500,1,16.23,733.78,16.23,733.78,0,25
pompe,16,5,ol,500,2,6.64,608.34,6.64,608.34,0,25
pompe,16,5,ol,500,3,4.45,609.15,4.45,609.15,0,25
pompe,16,5,ol,500,1,1.96,234.15,1.96,234.15,0,50
pompe,16,5,ol,500,2,16.68,813.01,16.68,813.01,0,50
pompe,16,5,ol,500,3,235.24,5376.39,235.24,5376.39,0,50
pompe,16,5,ol,500,1,149.36,1576.06,149.36,1576.06,0,100
pompe,16,5,ol,500,2,69.72,2904.15,69.72,2904.15,0,100
pompe,16,5,ol,500,3,2.68,744.29,2.68,744.29,0,100
pompe,16,5,ol,500,1,16.41,713.24,16.41,713.24,0,200
pompe,16,5,ol,500,2,13.06,545.39,13.06,545.39,0,200
pompe,16,5,ol,500,3,27.02,675.37,27.02,675.37,0,200
pompe,16,5,ol,500,1,119.25,2908.75,119.25,2908.75,0,400
pompe,16,5,ol,500,2,6.11,643.19,6.11,643.19,0,400
pompe,16,5,ol,500,3,67.33,4251.27,67.33,4251.27,0,400
