baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,batch_size
themis,21,5,bof,500,1,437.17,541.93,437.17,541.93,0,25
themis,21,5,bof,500,2,439.55,538.46,439.55,538.46,0,25
themis,21,5,bof,500,3,436.63,541.94,436.63,541.94,0,25
themis,21,5,bof,500,1,437.47,534.73,437.47,534.73,0,50
themis,21,5,bof,500,2,436.32,543.62,436.32,543.62,0,50
themis,21,5,bof,500,3,436.73,540.82,436.73,540.82,0,50
themis,21,5,bof,500,1,435.82,533.95,435.82,533.95,0,100
themis,21,5,bof,500,2,436.42,544.96,436.42,544.96,0,100
themis,21,5,bof,500,3,436.83,545.04,436.83,545.04,0,100
themis,21,5,bof,500,1,436.28,537.82,436.28,537.82,0,200
themis,21,5,bof,500,2,435.30,535.81,435.30,535.81,0,200
themis,21,5,bof,500,3,438.85,538.47,438.85,538.47,0,200
themis,21,5,bof,500,1,437.53,539.06,437.53,539.06,0,400
themis,21,5,bof,500,2,437.43,542.29,437.43,542.29,0,400
themis,21,5,bof,500,3,437.22,547.00,437.22,547.00,0,400
