baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,batch_size
tusk,16,5,none,500,1,42.62,0.00,500.0000,592.03,0,25
tusk,16,5,none,500,2,42.38,0.00,500.0000,639.19,0,25
tusk,16,5,none,500,3,42.78,0.00,500.0000,674.13,0,25
tusk,16,5,none,500,1,42.85,0.00,500.0000,704.34,0,50
tusk,16,5,none,500,2,42.92,0.00,500.0000,567.47,0,50
tusk,16,5,none,500,3,42.84,0.00,500.0000,648.41,0,50
tusk,16,5,none,500,1,42.89,0.00,500.0000,617.29,0,100
tusk,16,5,none,500,2,72.30,0.00,500.0000,652.21,0,100
tusk,16,5,none,500,3,243.45,0.00,500.0000,354.93,0,100
tusk,16,5,none,500,1,248.55,0.00,500.0000,360.33,0,200
tusk,16,5,none,500,2,42.87,0.00,500.0000,578.79,0,200
tusk,16,5,none,500,3,248.15,0.00,500.0000,361.76,0,200
tusk,16,5,none,500,1,42.86,0.00,500.0000,663.39,0,400
tusk,16,5,none,500,2,42.88,0.00,500.0000,650.56,0,400
tusk,16,5,none,500,3,42.94,0.00,500.0000,511.92,0,400
