baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,silent_faults
fairdag-ol,16,5,ol,500,1,610.12,2.99,500.0000,958.41,0,1
fairdag-ol,16,5,ol,500,2,654.38,0.00,500.0000,1102.16,0,1
fairdag-ol,16,5,ol,500,3,568.73,0.00,500.0000,960.80,0,1
fairdag-ol,16,5,ol,500,1,567.21,0.00,500.0000,1032.69,0,2
fairdag-ol,16,5,ol,500,2,570.45,0.00,500.0000,1183.12,0,2
fairdag-ol,16,5,ol,500,3,561.28,0.00,500.0000,1069.73,0,2
fairdag-ol,16,5,ol,500,1,496.43,0.00,500.0000,2133.01,0,3
fairdag-ol,16,5,ol,500,2,576.28,0.00,500.0000,1957.66,0,3
fairdag-ol,16,5,ol,500,3,532.17,0.00,500.0000,1558.54,0,3
fairdag-ol,16,5,ol,500,1,494.06,0.00,500.0000,1387.41,0,4
fairdag-ol,16,5,ol,500,2,536.58,0.00,500.0000,1048.53,0,4
fairdag-ol,16,5,ol,500,3,536.31,0.00,500.0000,1040.96,0,4
fairdag-ol,16,5,ol,500,1,453.92,0.00,500.0000,1106.41,0,5
fairdag-ol,16,5,ol,500,2,453.92,0.00,500.0000,1186.05,0,5
fairdag-ol,16,5,ol,500,3,491.74,0.00,500.0000,1279.58,0,5
