n,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,silent_faults
11,ol,500,1,411.20,791.20,411.50,843.50,157,1
11,ol,500,1,419.80,817.40,419.80,863.40,163,2
11,ol,500,1,341.40,1115.00,341.30,1157.50,91,3
11,ol,500,1,340.20,1152.50,339.70,1198.10,80,4
11,ol,500,1,297.80,1319.40,297.80,1411.80,58,5
11,ol,500,2,458.90,677.95,458.90,714.00,245,1
11,ol,500,3,457.40,680.70,457.20,726.05,240,1
11,ol,500,2,420.50,867.00,420.40,883.40,160,2
11,ol,500,3,420.60,868.10,420.60,882.80,164,2
11,ol,500,2,381.90,1013.20,381.50,1090.75,114,3
11,ol,500,3,381.80,1017.75,381.60,1077.65,115,3
11,ol,500,2,340.50,1161.60,340.20,1214.20,80,4
11,ol,500,3,340.20,1154.70,339.60,1196.90,80,4
11,ol,500,2,297.80,1333.10,297.80,1409.95,56,5
11,ol,500,3,297.80,1315.50,297.80,1389.70,58,5
11,bof,500,1,453.40,723.10,453.40,723.30,282,1
11,bof,500,2,413.30,727.70,413.30,727.90,193,1
11,bof,500,3,460.50,609.55,460.50,609.70,279,1
11,bof,500,1,416.00,945.10,416.10,945.40,182,2
11,bof,500,2,424.40,756.40,424.40,756.60,184,2
11,bof,500,3,348.80,980.80,348.80,981.10,124,2
11,bof,500,1,385.40,935.75,385.40,936.00,125,3
11,bof,500,2,382.50,915.90,382.60,916.20,127,3
11,bof,500,3,381.90,981.85,381.90,982.20,125,3
11,bof,500,1,311.50,1193.30,311.50,1193.70,74,4
11,bof,500,2,339.70,1096.40,339.70,1096.70,90,4
11,bof,500,3,340.90,1126.30,340.90,1126.60,89,4
11,bof,500,1,298.60,1391.70,298.70,1392.10,64,5
11,bof,500,2,298.30,1559.45,298.40,1559.85,64,5
11,bof,500,3,296.70,1364.10,296.80,1364.50,63,5
