baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,silent_faults
pompe,16,5,ol,500,1,39.72,804.36,39.72,804.36,0,1
pompe,16,5,ol,500,2,10.57,608.15,10.57,608.15,0,1
pompe,16,5,ol,500,3,16.28,669.19,16.28,669.19,0,1
pompe,16,5,ol,500,1,21.20,854.26,21.20,854.26,0,2
pompe,16,5,ol,500,2,5.20,422.88,5.20,422.88,0,2
pompe,16,5,ol,500,3,6.67,634.19,6.67,634.19,0,2
pompe,16,5,ol,500,1,9.67,576.90,9.67,576.90,0,3
pompe,16,5,ol,500,2,5.92,421.35,5.92,421.35,0,3
pompe,16,5,ol,500,3,119.95,6207.27,119.95,6207.27,0,3
pompe,16,5,ol,500,1,3.88,9655.89,3.88,9655.89,0,4
pompe,16,5,ol,500,2,1.20,245.86,1.20,245.86,0,4
pompe,16,5,ol,500,3,1.20,255.35,1.20,255.35,0,4
pompe,16,5,ol,500,1,0.00,0.00,0.00,0.00,0,5
pompe,16,5,ol,500,2,3.48,331.17,3.48,331.17,0,5
pompe,16,5,ol,500,3,5.33,744.18,5.33,744.18,0,5
