baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,silent_faults
themis,21,5,bof,500,1,431.98,918.52,431.98,918.52,0,1
themis,21,5,bof,500,2,432.63,926.97,432.63,926.97,0,1
themis,21,5,bof,500,3,434.28,923.00,434.28,923.00,0,1
themis,21,5,bof,500,1,433.18,953.42,433.18,953.42,0,2
themis,21,5,bof,500,2,432.20,959.30,432.20,959.30,0,2
themis,21,5,bof,500,3,432.12,955.57,432.12,955.57,0,2
themis,21,5,bof,500,1,434.52,961.26,434.52,961.26,0,3
themis,21,5,bof,500,2,433.70,959.99,433.70,959.99,0,3
themis,21,5,bof,500,3,432.33,958.37,432.33,958.37,0,3
themis,21,5,bof,500,1,434.27,956.96,434.27,956.96,0,4
themis,21,5,bof,500,2,434.47,957.19,434.47,957.19,0,4
themis,21,5,bof,500,3,432.52,955.38,432.52,955.38,0,4
themis,21,5,bof,500,1,435.07,948.78,435.07,948.78,0,5
themis,21,5,bof,500,2,435.03,955.14,435.03,955.14,0,5
themis,21,5,bof,500,3,432.98,948.33,432.98,948.33,0,5
