baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed,silent_faults
tusk,16,5,none,500,1,117.44,0.00,500.0000,342.36,0,1
tusk,16,5,none,500,2,119.75,0.00,500.0000,367.16,0,1
tusk,16,5,none,500,3,142.47,0.00,500.0000,352.80,0,1
tusk,16,5,none,500,1,159.29,0.00,500.0000,350.70,0,2
tusk,16,5,none,500,2,105.20,0.00,500.0000,337.19,0,2
tusk,16,5,none,500,3,118.92,0.00,500.0000,389.99,0,2
tusk,16,5,none,500,1,200.12,0.00,500.0000,352.41,0,3
tusk,16,5,none,500,2,101.03,0.00,500.0000,351.94,0,3
tusk,16,5,none,500,3,115.45,0.00,500.0000,346.17,0,3
tusk,16,5,none,500,1,100.98,0.00,500.0000,360.60,0,4
tusk,16,5,none,500,2,199.39,0.00,500.0000,354.33,0,4
tusk,16,5,none,500,3,133.82,0.00,500.0000,362.02,0,4
tusk,16,5,none,500,1,93.29,0.00,500.0000,462.21,0,5
tusk,16,5,none,500,2,10.48,0.00,230.60,358.12,0,5
tusk,16,5,none,500,3,93.70,0.00,500.0000,433.74,0,5
