n,mode,rep,e2e_tps,e2e_bps,con_tps,con_lat_s,slot
10,ol,1,1244.1,159243.6,0.319,2.365,5
10,ol,2,1248.5,159811.5,0.328,2.2963,5
10,ol,3,1238.9,158575.7,0.334,2.2148,5
10,ol,4,1243.2,159133.3,0.328,2.2542,5
10,ol,5,1222.9,156525.6,0.328,2.3981,5
10,bof,1,249.7,31967.6,0.499,2.002,1
10,bof,2,249.8,31969.6,0.5,2.0019,1
10,bof,3,249.7,31961.3,0.499,2.0024,1
10,bof,4,349.6,44752.0,0.499,2.0021,1
10,bof,5,249.7,31963.7,0.499,2.0023,1
13,ol,1,1818.3,232744.8,0.471,2.1217,6
13,ol,2,1938.5,248128.5,0.483,2.0707,6
13,ol,3,1941.5,248512.7,0.472,2.1169,6
13,ol,4,1858.5,237884.8,0.471,2.1211,6
13,ol,5,1574.4,201523.9,0.379,2.6378,6
13,bof,1,599.1,76679.7,0.499,2.0031,1
13,bof,2,599.2,76694.9,0.499,2.0027,1
13,bof,3,488.4,62509.4,0.488,2.0477,1
13,bof,4,599.1,76689.9,0.499,2.0029,1
13,bof,5,599.4,76720.5,0.499,2.0021,1
16,ol,1,1301.9,166648.8,0.354,2.825,6
16,ol,2,1719.3,220064.5,0.473,2.112,6
16,ol,3,1863.1,238474.8,0.476,2.1014,6
16,ol,4,1757.5,224954.5,0.469,2.1309,6
16,ol,5,1613.4,206512.6,0.442,2.2642,6
16,bof,1,748.5,95813.6,0.499,2.0039,1
16,bof,2,748.6,95814.6,0.499,2.0039,1
16,bof,3,748.6,95819.1,0.499,2.0038,1
16,bof,4,399.5,51132.7,0.499,2.0026,1
16,bof,5,749.1,95880.3,0.499,2.0025,1
22,ol,1,1162.6,148813.6,0.381,2.4057,7
22,ol,2,1156.4,148017.0,0.368,2.5148,7
22,ol,3,1195.7,153054.0,0.349,2.6459,7
22,ol,4,1134.7,145239.7,0.399,2.4822,7
22,ol,5,1099.5,140736.7,0.4,2.4271,7
22,bof,1,494.6,63303.6,0.45,2.2242,1
22,bof,2,1048.5,134212.6,0.499,2.0028,1
22,bof,3,1047.9,134126.6,0.499,2.0041,1
22,bof,4,397.1,50822.5,0.331,3.0223,1
22,bof,5,549.4,70326.0,0.499,2.0021,1
25,ol,1,1246.7,159583.9,0.37,2.3493,7
25,ol,2,1353.3,173218.8,0.462,2.3708,7
25,ol,3,1099.8,140772.1,0.35,2.3893,7
25,ol,4,1129.3,144551.2,0.402,2.2921,7
25,ol,5,1173.6,150218.6,0.374,2.3439,7
25,bof,1,634.8,81258.8,0.488,2.0478,1
25,bof,2,948.5,121405.4,0.499,2.0032,1
25,bof,3,748.4,95797.9,0.499,2.0042,1
25,bof,4,848.8,108650.7,0.499,2.0027,1
25,bof,5,649.1,83088.2,0.499,2.0027,1
19,ol,1,1421.0,181887.0,0.475,2.1042,6
19,ol,2,1672.6,214098.9,0.484,2.0674,6
19,ol,3,1804.3,230950.1,0.462,2.1637,6
19,ol,4,1623.7,207830.5,0.468,2.1353,6
19,ol,5,1457.3,186529.4,0.394,2.537,6
19,bof,1,400.9,51318.3,0.195,1.9302,1
19,bof,2,368.6,47175.1,0.199,1.9775,1
19,bof,3,461.4,59054.0,0.461,2.1675,1
19,bof,4,649.0,83070.4,0.499,2.0031,1
19,bof,5,388.6,49746.0,0.198,1.9463,1
