n,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
7,ol,500,1,67.6,43.6,479.9,1525.2,263
7,ol,500,2,70.5,43.9,419.9,2286.8,177
7,ol,500,3,66.9,44.7,423.6,2048.0,199
7,ol,500,4,70.9,40.2,505.3,1585.9,270
7,ol,500,5,70.5,45.7,440.3,2176.0,168
7,ol,1000,1,144.4,31.3,1014.2,1283.3,358
7,ol,1000,2,142.1,33.9,1007.8,1278.7,360
7,ol,1000,3,141.6,38.3,729.8,1862.15,90
7,ol,1000,4,142.5,35.4,883.0,1641.1,209
7,ol,1000,5,144.4,33.3,1015.4,1325.7,361
7,ol,2000,1,332.3,38.0,2030.6,1015.0,367
7,ol,2000,2,320.4,38.7,1800.1,1161.9,240
7,ol,2000,3,291.6,35.4,1485.0,1405.4,165
7,ol,2000,4,285.1,39.2,1766.7,1185.9,227
7,ol,2000,5,297.9,35.8,1580.7,1305.0,144
7,ol,4000,1,593.7,38.2,2884.1,1109.5,125
7,ol,4000,2,585.5,39.0,3728.4,868.8,276
7,ol,4000,3,732.3,43.9,2556.9,1295.8,106
7,ol,4000,4,700.4,40.9,2445.3,1240.6,94
7,ol,4000,5,623.6,41.8,2944.6,1201.0,87
7,ol,6000,1,996.5,31.9,2449.0,677.8,17
7,ol,6000,2,892.9,42.8,5362.9,851.3,41
7,ol,6000,3,910.8,44.3,3179.4,1264.05,68
7,ol,6000,4,932.9,41.8,3630.3,1048.4,131
7,ol,6000,5,938.7,37.5,4565.2,1099.1,43
7,ol,8000,1,1195.2,23.8,5206.3,879.6,23
7,ol,8000,2,1290.1,29.6,5625.9,1051.0,32
7,ol,8000,3,1181.7,22.0,5811.7,335.25,6
7,ol,8000,4,1242.3,24.6,4741.6,827.4,10
7,ol,8000,5,1173.9,30.2,6305.6,1008.4,29
7,ol,10000,1,1543.3,37.7,4959.7,754.45,21
7,ol,10000,2,1562.7,29.6,2711.8,690.8,8
7,ol,10000,3,1615.0,33.9,6777.3,674.1,19
7,ol,10000,4,1581.0,32.2,6155.1,743.8,9
7,ol,10000,5,1578.6,28.4,7855.1,884.3,9
7,ol,12000,1,2080.2,41.4,8479.6,531.8,7
7,ol,12000,2,1869.2,39.6,3503.7,1348.8,36
7,ol,12000,3,2029.3,38.6,8796.8,546.9,25
7,ol,12000,4,2054.6,39.1,9745.9,531.6,19
7,ol,12000,5,1866.9,39.9,6256.7,757.0,18
7,ol,15000,1,1992.4,50.3,11902.0,2279.8,54
7,ol,15000,2,1993.3,50.0,9986.0,2022.8,53
7,ol,15000,3,2004.5,50.5,10271.4,2733.2,69
7,ol,15000,4,2058.2,50.4,11008.5,744.1,26
7,ol,15000,5,2074.6,50.0,12767.3,666.9,23
11,ol,500,1,47.2,44.6,505.2,711.0,598
11,ol,500,2,46.9,44.3,504.9,715.3,597
11,ol,500,3,45.2,46.2,471.0,745.2,394
11,ol,500,4,46.7,42.5,495.6,750.3,538
11,ol,500,5,45.9,43.9,471.3,759.1,399
11,ol,1000,1,93.8,43.6,772.4,1478.0,149
11,ol,1000,2,93.2,41.8,1002.1,937.9,577
11,ol,1000,3,91.0,42.3,1012.3,879.6,594
11,ol,1000,4,98.4,43.9,1012.4,875.1,591
11,ol,1000,5,97.3,42.4,1006.0,962.7,595
11,ol,2000,1,185.1,32.2,2002.3,1101.7,539
11,ol,2000,2,183.1,33.4,1786.8,1386.2,234
11,ol,2000,3,183.1,33.3,1594.8,1622.5,224
11,ol,2000,4,183.3,32.5,1836.3,1376.4,258
11,ol,2000,5,185.5,32.5,1949.5,1131.8,527
11,ol,4000,1,376.5,35.8,3040.1,1154.1,164
11,ol,4000,2,389.7,36.5,3529.6,998.4,304
11,ol,4000,3,369.9,35.4,3250.4,963.4,293
11,ol,4000,4,376.5,35.9,3162.3,1294.9,165
11,ol,4000,5,376.3,36.0,3207.4,1191.2,168
11,ol,6000,1,596.1,41.2,4205.8,1004.3,138
11,ol,6000,2,570.9,41.7,4264.6,991.8,146
11,ol,6000,3,566.4,42.1,4220.7,994.6,143
11,ol,6000,4,597.0,42.8,3564.4,1075.4,84
11,ol,6000,5,561.3,42.3,4569.3,871.0,251
11,ol,8000,1,771.0,39.3,6028.9,864.9,184
11,ol,8000,2,759.9,45.5,4370.8,1542.1,60
11,ol,8000,3,765.2,42.2,2468.8,2588.7,43
11,ol,8000,4,767.9,37.8,6795.2,727.3,17
11,ol,8000,5,777.0,41.4,5497.2,1141.3,72
11,ol,10000,1,932.8,42.2,7072.6,944.0,48
11,ol,10000,2,934.5,40.5,6838.7,845.7,150
11,ol,10000,3,948.5,40.7,5513.1,903.2,70
11,ol,10000,4,983.3,47.6,5888.1,1209.4,88
11,ol,10000,5,1012.4,43.9,3493.2,825.9,16
11,ol,12000,1,1145.5,37.6,9662.4,838.7,52
11,ol,12000,2,1150.8,47.3,7554.2,1053.2,96
11,ol,12000,3,1226.3,36.6,9902.8,688.5,77
11,ol,12000,4,1184.0,45.4,6912.0,1207.0,86
11,ol,12000,5,1175.5,38.3,10498.9,1305.4,59
15,ol,300,1,20.7,44.7,306.2,708.7,827
15,ol,300,2,21.0,42.2,305.7,752.6,825
15,ol,300,3,20.7,37.5,285.8,758.4,319
15,ol,300,4,20.3,45.4,306.4,719.6,827
15,ol,300,5,21.0,42.8,306.3,726.7,827
15,ol,600,1,41.0,35.2,573.5,726.9,301
15,ol,600,2,42.0,39.6,570.0,718.2,335
15,ol,600,3,41.3,41.9,612.2,703.1,826
15,ol,600,4,42.0,42.0,612.7,711.3,826
15,ol,600,5,42.5,42.1,567.2,1021.9,289
15,ol,1200,1,80.9,38.4,1226.0,746.4,820
15,ol,1200,2,82.2,42.4,1139.1,771.5,276
15,ol,1200,3,84.2,35.6,1225.4,730.9,818
