n,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
10,bof,500,1,458.1,670.45,458.1,670.75,289
10,bof,500,2,440.1,750.1,440.1,750.4,251
10,bof,500,3,510.2,564.9,510.2,565.05,595
10,bof,500,4,494.9,559.45,494.9,559.65,571
10,bof,1000,2,821.7,1114.9,821.7,1115.9,243
10,bof,1000,3,1031.3,795.65,1031.3,796.4,411
10,bof,1000,5,1030.4,838.95,1030.5,839.85,275
10,bof,2000,1,575.5,909.35,575.5,909.7,149
10,bof,2000,2,1070.5,994.25,1072.1,995.45,129
10,bof,2000,3,2130.4,1048.4,2138.1,1049.25,150
10,bof,2000,4,1276.7,2192.7,1280.2,2194.3,133
10,bof,2000,5,2156.1,859.05,2166.1,859.9,144
10,bof,4000,1,3234.3,528.5,3235.1,532.05,57
10,bof,4000,2,2703.6,706.9,2705.0,622.9,45
10,bof,4000,3,2719.1,756.7,2720.3,760.25,48
10,bof,4000,4,3496.4,719.1,3497.7,724.0,53
10,bof,4000,5,2617.2,686.8,2617.9,690.25,48
10,bof,6000,1,1682.7,698.7,1683.4,700.6,17
10,bof,6000,2,3759.4,506.0,3775.7,511.95,16
10,bof,6000,3,2969.2,617.8,2969.9,621.15,23
10,bof,6000,4,2893.8,711.5,2894.2,718.95,23
10,bof,6000,5,3972.1,610.1,3961.8,617.3,15
10,bof,8000,1,3239.0,461.95,3239.3,467.2,32
10,bof,8000,2,3226.7,521.7,3229.3,528.35,23
10,bof,8000,3,2651.8,599.2,2652.1,601.6,19
10,bof,8000,4,4104.1,720.25,4104.9,724.55,24
10,bof,8000,5,2346.2,563.2,2347.7,477.3,18
10,bof,10000,1,6502.5,558.5,6431.7,586.8,15
10,bof,10000,2,2838.5,528.5,2839.2,541.45,18
10,bof,10000,3,5565.0,516.05,5565.5,523.2,27
10,bof,10000,4,9043.5,558.15,8821.2,581.0,13
10,bof,10000,5,3615.0,456.45,3616.3,461.65,22
10,bof,12000,1,6406.1,645.7,2967.2,528.4,16
10,bof,12000,2,5453.0,432.7,5453.8,440.4,23
10,bof,12000,3,7065.6,674.8,3536.7,695.8,15
10,bof,12000,4,3677.7,757.85,3680.1,766.25,19
10,bof,12000,5,5902.8,604.65,5909.6,612.15,29
10,bof,15000,1,4126.3,361.1,4129.1,372.1,12
10,bof,15000,2,7934.0,586.7,7942.8,602.3,20
10,bof,15000,3,6509.8,738.65,6511.6,742.8,16
10,bof,15000,4,4036.7,564.3,4039.0,488.3,15
10,bof,15000,5,7248.0,554.0,7255.4,576.35,14
10,bof,20000,1,10589.5,485.8,10609.0,498.75,22
10,bof,20000,2,9349.3,769.0,9357.8,773.8,18
10,bof,20000,3,7497.4,357.5,7510.0,372.95,20
10,bof,20000,4,10532.0,559.45,10545.7,572.5,21
10,bof,20000,5,5705.0,504.5,5707.5,525.55,18
10,bof,25000,1,5529.6,497.9,5531.0,506.0,19
10,bof,25000,2,9347.1,671.05,9366.0,676.45,18
10,bof,25000,3,6964.9,609.2,6969.6,622.0,17
10,bof,25000,4,10349.0,660.15,10360.4,674.0,20
10,bof,25000,5,10505.2,584.5,10518.8,596.45,20
10,bof,30000,1,10368.2,640.65,10382.1,658.0,20
10,bof,30000,2,6651.6,323.85,6653.1,331.4,15
10,bof,30000,3,7301.4,601.45,7308.6,619.4,19
10,bof,30000,4,10439.2,762.25,10448.2,775.95,20
10,bof,30000,5,4727.6,389.75,4728.4,398.3,17
10,bof,40000,1,10222.5,823.65,10233.2,841.25,20
10,bof,40000,2,6563.9,760.05,6569.7,772.5,17
10,bof,40000,3,10712.5,769.25,10727.7,784.8,20
10,bof,40000,4,9000.2,483.3,9009.5,496.3,18
10,bof,40000,5,10450.9,656.85,10455.5,665.55,20
10,bof,50000,1,7497.1,661.8,7506.3,673.6,19
10,bof,50000,2,10421.5,717.1,10430.2,638.2,20
10,bof,50000,3,6982.5,454.95,6984.1,463.6,17
10,bof,50000,4,13840.1,703.7,13871.0,755.35,19
10,bof,50000,5,7704.5,939.3,7715.1,963.2,20
16,bof,500,1,483.1,468.55,483.1,468.65,842
16,bof,500,2,460.9,649.65,459.4,650.75,448
16,bof,500,3,436.5,758.6,436.5,758.9,292
16,bof,500,4,407.6,992.2,407.6,992.7,297
16,bof,500,5,503.1,491.15,503.1,491.25,894
16,bof,1000,1,1003.3,867.25,1003.3,870.25,309
16,bof,1000,2,933.3,757.5,933.3,757.9,416
16,bof,1000,3,989.0,873.15,989.0,877.0,313
16,bof,1000,4,963.9,1220.3,963.9,1221.5,267
16,bof,1000,5,930.3,1315.55,930.4,1316.55,226
16,bof,2000,1,10345.0,993.8,10345.7,994.0,221
